!contents -R2 -g -p -f -h
'''In order to check the search, I need to create new site/mot/vehicle'''

!| GenerateTestDataForOtherFitnesseTests |
| siteNumber? |
| $siteNumber1= |
| $siteNumber2= |

!| GenerateTestDataForOtherFitnesseTests |
| colour | make | model | vrm | vin | vehicleId? | siteNumber? | testerUsername? | testerUserId? | motTestNumber? |
| E | 18811 | 01459 | TESTVRM | TESTVINVEHICLE123 | $vehicleId1= | $siteNumber3= | $testerUsername1= | $testerId1= | $motTestNumber1= |

'''In order to re-test a vehicle to check a tester's competence, I want to view the recent vehicle tests performed at a garage'''

!2 VIN Search
!3 Search for Multiple MOT Tests by Vehicle VIN
!| Search Mot Tests |
| vin | vrm | siteNumber | tester | searchRecent | vehicleid | testid | success? | status? | number? | primaryColour? | hasRegistration? | vin? | vrm? | make? | model? | testType? | site? | username? |
| TESTVINVEHICLE123 | | | | 0 | | $motTestNumber1 | true | PASSED | $motTestNumber1 | Orange | true | TESTVINVEHICLE123 | TESTVRM | BMW | ALPINA | Normal Test | $siteNumber3 | $testerUsername1 |
| testvinvehicle123 | | | | 0 | | $motTestNumber1 | true | PASSED | $motTestNumber1 | Orange | true | TESTVINVEHICLE123 | TESTVRM | BMW | ALPINA | Normal Test | $siteNumber3 | $testerUsername1 |
| wrongVin | | | | 0 | | $motTestNumber1 | false | false | false | false | false | false | false | false | false | false | false | false |
| | TESTVRM | | | 0 | | $motTestNumber1 | true | PASSED | $motTestNumber1 | Orange | true | TESTVINVEHICLE123 | TESTVRM | BMW | ALPINA | Normal Test | $siteNumber3 | $testerUsername1 |
| | testvrm | | | 0 | | $motTestNumber1 | true | PASSED | $motTestNumber1 | Orange | true | TESTVINVEHICLE123 | TESTVRM | BMW | ALPINA | Normal Test | $siteNumber3 | $testerUsername1 |
| | wrongVrm | | | 0 | | $motTestNumber1 | false | false | false | false | false | false | false | false | false | false | false | false |
| | | $siteNumber3 | | 0 | | $motTestNumber1 | true | PASSED | $motTestNumber1 | Orange | true | TESTVINVEHICLE123 | TESTVRM | BMW | ALPINA | Normal Test | $siteNumber3 | $testerUsername1 |
| | | $siteNumber3 | | 0 | | $motTestNumber1 | true | PASSED | $motTestNumber1 | Orange | true | TESTVINVEHICLE123 | TESTVRM | BMW | ALPINA | Normal Test | $siteNumber3 | $testerUsername1 |
| | | wrongSite | | 0 | | $motTestNumber1 | false | false | false | false | false | false | false | false | false | false | false | false |
| | | $siteNumber3 | | 1 | | $motTestNumber1 | true | PASSED | $motTestNumber1 | Orange | true | TESTVINVEHICLE123 | TESTVRM | BMW | ALPINA | Normal Test | $siteNumber3 | $testerUsername1 |
| | | $siteNumber3 | | 1 | | $motTestNumber1 | true | PASSED | $motTestNumber1 | Orange | true | TESTVINVEHICLE123 | TESTVRM | BMW | ALPINA | Normal Test | $siteNumber3 | $testerUsername1 |
| | | wrongSite | | 1 | | $motTestNumber1 | false | false | false | false | false | false | false | false | false | false | false | false |
| | | | $testerId1 | 0 | | $motTestNumber1 | true | PASSED | $motTestNumber1 | Orange | true | TESTVINVEHICLE123 | TESTVRM | BMW | ALPINA | Normal Test | $siteNumber3 | $testerUsername1 |
| | | | $testerId1 | 0 | | $motTestNumber1 | true | PASSED | $motTestNumber1 | Orange | true | TESTVINVEHICLE123 | TESTVRM | BMW | ALPINA | Normal Test | $siteNumber3 | $testerUsername1 |
| | | | 99999999 | 0 | | $motTestNumber1 | false | false | false | false | false | false | false | false | false | false | false | false |
| | | | | 0 | $vehicleId1 | $motTestNumber1 | true | PASSED | $motTestNumber1 | Orange | true | TESTVINVEHICLE123 | TESTVRM | BMW | ALPINA | Normal Test | $siteNumber3 | $testerUsername1 |
