!|GenerateTestDataForOtherFitnesseTests                                                                                                                                                                                                |
|orgId?|aeRef?    |financeUsername?|testerUsername?|siteMngrUsername?|siteAdminUsername?|aedUsername?|aedmUsername?|vehicleExaminerUsername?|areaOfficeUsername?|cscoUsername?|schememgtUsername?|schemeuserUsername?|dvlaOperUsername?|
|$aeId=|$aeNumber=|$financeUser=   |$tester=       |$siteMngr=       |$siteAdmin=       |$aed=       |$aedm=       |$vehicleExaminer=       |$areaOffice=       |$csco=       |$schememgt=       |$schemeuser=       |$dvlaOper=       |


!| Organisation_BasicSearchAeByNumber                                   |
|username        |aeNumber     |result?                                 |
|$tester         |$aeNumber    |Forbidden                               |
|$siteMngr       |$aeNumber    |Forbidden                               |
|$siteAdmin      |$aeNumber    |Forbidden                               |
|$aed            |$aeNumber    |Forbidden                               |
|$aedm           |$aeNumber    |Forbidden                               |
|$vehicleExaminer|$aeNumber    |OK                                      |
|$vehicleExaminer|invalidNumber|Organisation ID: invalidNumber not found|
|$areaOffice     |$aeNumber    |OK                                      |
|$areaOffice     |invalidNumber|Organisation ID: invalidNumber not found|
|$csco           |$aeNumber    |OK                                      |
|$csco           |invalidNumber|Organisation ID: invalidNumber not found|
|$schememgt      |$aeNumber    |OK                                      |
|$schememgt      |invalidNumber|Organisation ID: invalidNumber not found|
|$schemeuser     |$aeNumber    |OK                                      |
|$schemeuser     |invalidNumber|Organisation ID: invalidNumber not found|
|$dvlaOper       |$aeNumber    |Forbidden                               |
|$dvlaOper       |invalidNumber|Forbidden                               |
|$financeUser    |$aeNumber    |OK                                      |
|$financeUser    |invalidNumber|Organisation ID: invalidNumber not found|
