!|GenerateTestDataForOtherFitnesseTests                                                                                                                                                                    |
|orgId?|testerUsername?|siteMngrUsername?|siteAdminUsername?|aedUsername?|aedmUsername?|vehicleExaminerUsername?|areaOfficeUsername?|cscoUsername?|schememgtUsername?|schemeuserUsername?|dvlaOperUsername?|
|$aeId=|$tester=       |$siteMngr=       |$siteAdmin=       |$aed=       |$aedm=       |$vehicleExaminer=       |$areaOffice=       |$csco=       |$schememgt=       |$schemeuser=       |$dvlaOper=       |

!|GenerateTestDataForOtherFitnesseTests|
|orgId?                                |
|$aeId_2=                              |

!| ManageAuthorisedExaminerPrincipal |
|username        |aeId   |can create?|can remove?|
|$tester         |$aeId  |Forbidden  |Forbidden  |
|$tester         |$aeId_2|Forbidden  |Forbidden  |
|$siteMngr       |$aeId  |Forbidden  |Forbidden  |
|$siteMngr       |$aeId_2|Forbidden  |Forbidden  |
|$siteAdmin      |$aeId  |Forbidden  |Forbidden  |
|$siteAdmin      |$aeId_2|Forbidden  |Forbidden  |
|$aed            |$aeId  |Forbidden  |Forbidden  |
|$aed            |$aeId_2|Forbidden  |Forbidden  |
|$aedm           |$aeId  |Forbidden  |Forbidden  |
|$aedm           |$aeId_2|Forbidden  |Forbidden  |
|$vehicleExaminer|$aeId  |Forbidden  |Forbidden  |
|$vehicleExaminer|$aeId_2|Forbidden  |Forbidden  |
|$areaOffice     |$aeId  |Forbidden  |Forbidden  |
|$areaOffice     |$aeId_2|Forbidden  |Forbidden  |
|$csco           |$aeId  |Forbidden  |Forbidden  |
|$csco           |$aeId_2|Forbidden  |Forbidden  |
|$schememgt      |$aeId  |Forbidden  |Forbidden  |
|$schememgt      |$aeId_2|Forbidden  |Forbidden  |
|$schemeuser     |$aeId  |Forbidden  |Forbidden  |
|$schemeuser     |$aeId_2|Forbidden  |Forbidden  |
|$dvlaOper       |$aeId  |Forbidden  |Forbidden  |
|$dvlaOper       |$aeId_2|Forbidden  |Forbidden  |
