!|GenerateTestDataForOtherFitnesseTests                                                                                                                                                                                     |
|orgId?|financeUsername?|testerUsername?|siteMngrUsername?|siteAdminUsername?|aedUsername?|aedmUsername?|vehicleExaminerUsername?|areaOfficeUsername?|cscoUsername?|schememgtUsername?|schemeuserUsername?|dvlaOperUsername?|
|$aeId=|$financeUser=   |$tester=       |$siteMngr=       |$siteAdmin=       |$aed=       |$aedm=       |$vehicleExaminer=       |$areaOffice=       |$csco=       |$schememgt=       |$schemeuser=       |$dvlaOper=       |

!| VM9525RetrieveListOfAuthorisedExaminerPrincipals|$aeId    |
|username                                          |result?  |
|$tester                                           |Forbidden|
|$siteMngr                                         |Forbidden|
|$siteAdmin                                        |Forbidden|
|$aed                                              |OK       |
|$aedm                                             |OK       |
|$vehicleExaminer                                  |OK       |
|$areaOffice                                       |OK       |
|$csco                                             |OK       |
|$schememgt                                        |OK       |
|$schemeuser                                       |OK       |
|$dvlaOper                                         |Forbidden|
|$financeUser                                      |Forbidden|
