Permissions check to ensure certain roles can disassociate the correct type of users within a SITE

!| Vm 5039 Disassociate Site Position        |
|nominator   |nominee     |success?|error?   |
|AEDM        |SITE-MANAGER|TRUE    |         |
|AEDM        |SITE-ADMIN  |TRUE    |         |
|AEDM        |TESTER      |TRUE    |         |
|AED         |SITE-MANAGER|TRUE    |         |
|AED         |SITE-ADMIN  |TRUE    |         |
|AED         |TESTER      |TRUE    |         |
|SITE-MANAGER|TESTER      |TRUE    |         |
|SITE-MANAGER|SITE-ADMIN  |TRUE    |         |
|SITE-ADMIN  |SITE-MANAGER|FALSE   |Forbidden|
|SITE-ADMIN  |TESTER      |FALSE   |Forbidden|
|TESTER      |SITE-ADMIN  |FALSE   |Forbidden|
|TESTER      |SITE-MANAGER|FALSE   |Forbidden|
