!contents -R2 -g -p -f -h
'''As any user on the system with a submitted tester application online, I want to receive an online notification, So that I am aware of any updates to my tester application..'''

!| GenerateTestDataForOtherFitnesseTests               |
|siteAdminUsername?|testerUsername?     |testerUserId? |
|$senderUsername1= |$recipientUsername1=|$recipientId1=|
|$senderUsername2= |$recipientUsername2=|$recipientId2=|

Send notification to person.

!| Vm 2399 Tester Application Notification                                     |
|senderUsername     |recipient id |success?|notificationId?  |info             |
|$recipientUsername1|$recipientId1|true    |$notificationId1=|notification sent|
|$recipientUsername2|$recipientId2|true    |$notificationId2=|notification sent|


Mark notification as read.

!| Vm 2399 Notification mark as read                                                |
|notification id |reader username    |success?|info                                 |
|$notificationId1|$recipientUsername1|true    |unread notification is marked as read|
|$notificationId1|$recipientUsername1|true    |read notification not modified       |
|$notificationId1|$recipientUsername2|false   |access denied for this user          |
|99999           |$recipientUsername1|false   |notification does not exist          |

Mark notification as read.

!| Vm 2399 Notification delete                                                                              |
|notification id |recipientUsername  |success?|info                                                         |
|$notificationId1|$recipientUsername1|true    |read notification deleted                                    |
|$notificationId2|$recipientUsername1|false   |access denied for this user                                  |
|$notificationId1|$recipientUsername1|false   |Notification $notificationId1 not found (was already deleted)|
|$notificationId2|$recipientUsername2|true    |unread notification deleted                                  |
|9999            |$recipientUsername2|false   |Notification 9999 not found (has never existed)              |
