!contents -R2 -g -p -f -h
One time passwords: 000000 - invalid 123456 - valid

!| GenerateTestDataForOtherFitnesseTests|
|testerUsername?         |siteId?       |
|$testerUsername1=       |$vtsId=       |

!| create vehicle  |$testerUsername1     |$vtsId                                                                                                                                                                                                                                                                                                                                                                                                                      |
|registrationNumber|vin                  |emptyVrmReason|emptyVinReason|make |model|colour|secondaryColour|dateOfFirstUse|fuelType|testClass       |countryOfRegistration|cylinderCapacity|transmissionType|otp   |error message?                                                                                                                                                                                                                                     |
|FT03MOT32         |1234567890qwertyu    |null          |null          |18837|0168D|L     |N              |2005-01-13    |PE      |${VehicleClass5}|24                   |27              |1               |123456|=~/^$/                                                                                                                                                                                                                                             |
|FT03MOT32         |1234567890qwertyu    |null          |null          |18837|0168D|L     |N              |2005-01-13    |PE      |${VehicleClass5}|24                   |27              |1               |000000|The PIN you have entered is incorrect                                                                                                                                                                                                              |
|FT03_MOT3         |1234567890qwertyu    |null          |null          |18837|0168D|L     |N              |2005-01-13    |PE      |${VehicleClass5}|24                   |27              |1               |123456|                                                                                                                                                                                                                                                   |
|FT03MOT32         |123456               |null          |null          |18837|0168D|L     |N              |2005-01-13    |PE      |${VehicleClass5}|24                   |27              |1               |123456|                                                                                                                                                                                                                                                   |
|FT03MOT32         |1234567890qwertyuiopX|null          |null          |18837|0168D|L     |N              |2005-01-13    |PE      |${VehicleClass5}|24                   |27              |1               |123456|must be 20 characters or less                                                                                                                                                                                                                      |
|FT03MOT32         |1234567_______rty    |null          |null          |18837|0168D|L     |N              |2005-01-13    |PE      |${VehicleClass5}|24                   |27              |1               |123456|                                                                                                                                                                                                                                                   |
|FT03MOT32         |1234567890qwertyu    |null          |null          |18837|0168D|L     |N              |20xx-01-13    |PE      |${VehicleClass5}|24                   |27              |1               |123456|must be a valid date. For example, 31 01 2014.                                                                                                                                                                                                     |
|FT03MOT32         |1234567890qwertyu    |null          |null          |18837|0168D|L     |N              |2005-01-13    |PE      |${VehicleClass5}|24                   |notNumber       |1               |123456|must be a valid capacity. For example, 1400.                                                                                                                                                                                                       |
|FT03MOT32         |1234567890qwertyu    |null          |null          |18837|0168D|L     |N              |2005-01-13    |PE      |${VehicleClass5}|24                   |0               |1               |123456|must be less than 10000                                                                                                                                                                                                                            |
|FT04MOT32         |1234567890qwertyu    |null          |null          |188C2|01EB8|L     |L              |2014-01-13    |PE      |${VehicleClass1}|24                   |1000            |1               |123456|                                                                                                                                                                                                                                                   |
|FT04MOT32         |1234567890qwertyu    |null          |null          |188C2|01EB8|L     |L              |2000-01-13    |PE      |${VehicleClass1}|24                   |10001           |1               |123456|must be less than 10000                                                                                                                                                                                                                            |
