!contents -R2 -g -p -f -h
'''In order to conduct a test as a Tester I need capture odometer values to enable a test pass'''

!| GenerateTestDataForOtherFitnesseTests  |
|testerUsername?|motTestNumber   ?|status |
|$tester1=      |$motTestNumber1= |ACTIVE |
|$tester2=      |$motTestNumber2= |ACTIVE |
|$tester3=      |$motTestNumber3= |ABORTED|
|$tester4=      |$motTestNumber4= |PASSED |
|$tester5=      |$motTestNumber5= |PASSED |

!| GenerateTestDataForOtherFitnesseTests|
|testerUsername?                        |
|$tester6=                              |

Update MOT Test odometer.
Setting motTestId to 'new' will create a new test assigned to 'tester1'

!| Vm 327 Mot Test Update Odometer                                                                        |
|motTestNumber  |Tester  |Odometer Value|Odometer Unit|success?|error messages?       |comment            |
|$motTestNumber1|$tester1|1000          |mi           |true    |                      |                   |
|$motTestNumber1|$tester1|9999          |km           |true    |                      |                   |
|$motTestNumber1|$tester1|-100          |mi           |false   |Invalid odometer value|                   |
|$motTestNumber1|$tester1|1000          |yards        |false   |Invalid odometer unit |                   |
|$motTestNumber1|$tester6|1000          |mi           |false   |                      |wrong user         |
|$motTestNumber3|$tester3|1000          |mi           |false   |                      |aborted test       |
|$motTestNumber4|$tester4|1000          |mi           |false   |                      |already PASSED test|
|$motTestNumber5|$tester5|1000          |mi           |false   |                      |already FAILED test|


