!contents -R2 -g -p -f -h

!| Vm 4499 Confirm Mot Test Result                                                                            |
|User whom starts a test|Test type|Confirmed To|Should Be Inactive|User whom try to confirm the test|Response?|
|T1                     |RT       |PASSED      |No                |T1                               |Confirmed|
|VE1                    |ER       |PASSED      |No                |VE1                              |Confirmed|
|VE1                    |ER       |FAILED      |No                |VE1                              |Confirmed|
|VE1                    |ER       |PASSED      |No                |VE2                              |Forbidden|
|T1                     |NT       |PASSED      |No                |T1                               |Confirmed|
|T1                     |NT       |FAILED      |No                |T1                               |Confirmed|
|T1                     |NT       |PASSED      |No                |T2                               |Forbidden|
|T1                     |NT       |PASSED      |No                |AED                              |Forbidden|
|T1                     |NT       |PASSED      |No                |AEDM                             |Forbidden|
|T1                     |NT       |PASSED      |No                |SM                               |Forbidden|
|T3                     |NT       |PASSED      |Yes               |T3                               |Forbidden|
